city,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
Albany,,,,,,1,1,1,1,1,1,,,
Berkeley,,,,,,,,,,1,1,,,
Brisbane,,,,,,1,1,1,1,1,1,,,
Central Marin Police Authority,,,,,,,,,,1,1,,,
Corte Madera,,,,,,0,0,1,1,1,1,,,
Emeryville,,,,,,1,1,1,1,1,1,,,
Fairfax,,,,,,1,1,1,1,1,1,,,
Larkspur,,,,,,1,1,1,1,1,1,,,
Los Altos,,,,,,,1,,,,,,,
Menlo Park,,,,,,1,1,1,1,1,1,,,
Mill Valley,,,,,,1,1,1,1,1,1,,,
Monte Sereno,,,,,,,,,,1,,,,
Novato,,,,,,1,1,1,1,1,1,,,
Piedmont,,,,,,1,1,1,1,1,1,,,
Pleasanton,,,,,,,,,,1,,,,
Redwood City,,,,,,,,,,,,,,
San Anselmo,,,,,,1,1,1,1,1,1,,,
Sausalito,,,,,,1,1,1,1,1,1,1,1,1
Tiburon,,,,,,1,1,1,1,1,1,,,
Union City ,,,,,,1,1,1,1,1,1,,,