city,year_joined
Amador ,2021
Arcata,2021
Avalon,2021
Belvedere,2021
Blue Lake,2021
Calimesa,2021
Calistoga,2021
Citrus Heights,2021
Clearlake,2021
Cloverdale,2021
Coalinga,2021
Cotati,2021
Eureka,2021
Ferndale,2021
Fort Bragg,2021
Fortuna,2021
Grass Valley,2021
Highland,2021
Healdsburg,2021
Industry,2024
Lakeport,2021
Maywood,2024
Menifee,2021
Nevada City,2021
Placentia,2021
Placerville,2021
Plymouth,2021
Point Arena,2021
Rancho Cucamonga,2021
Rancho Santa Margarita,2021
Rohnert Park,2021
St. Helena,2021
San Juan Bautista,2021
Sebastopol,2021
Sierra Madre,2021
Sonoma,2021
South Lake Tahoe,2021
Tehama,2021
Trinidad,2021
Truckee,2021
Twentynine Palms,2021
Upland,2024
Ukiah,2021
Watsonville,2021
Wheatland,2021
Wildomar,2021
Willits,2021
Windsor,2021
Yountville,2021
Yucaipa,2021
Yucca Valley,2021