city,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026
Angels Camp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Atwater,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ceres,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Escalon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gustine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hughson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lathrop,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Livingston,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Newman,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oakdale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Patterson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ripon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Riverbank,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sonora,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sutter Creek,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tracy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turlock,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Waterford,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chowchilla,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Clovis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dinuba,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dos Paos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Huron,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kerman,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Firebaugh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fowler,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kingsburg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Los Banos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Madera,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mendota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Merced,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Orange Cove,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Parlier,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Reedley,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
San Joaquin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sanger,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Selma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arvin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Avenal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Corcoran,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Delano,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Exeter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Farmersville,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hanford,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemoore,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1
Lindsay,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Maricopa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
McFarland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Porterville,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shafter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Taft,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tehachapi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tulare,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wasco ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Woodlake,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1