city,last_fy_reported,2010-2011,2011-2012,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Alhambra,,,,1,,,,,,0,,0,0,0,0
Adelanto ,2025-2026,,,,,,,,,1,,1,1,1,1
Azusa,,,,1,,,,,,0,,0,0,0,0
Baldwin Park,,,,1,,,,,,0,,0,0,0,0
Bell,2025-2026,,,,,,,,,1,,1,1,1,1
Colton,,,,1,,,,,,0,,0,0,0,0
Culver City,,,,1,,,,,,0,,0,0,0,0
Downey,2025-2026,,,1,,,,,,1,,1,1,1,1
El Monte,2025-2026,1,,1,,,,,,1,,1,1,1,1
El Segundo,2025-2026,,,1,,,,,,1,,1,1,1,1
Fullerton,2025-2026,,,1,,,,,,1,,1,1,1,1
Glendora,2025-2026,,,1,,,,,,1,,1,1,1,1
Hawthorne,2025-2026,,,1,,,,,,1,,1,1,1,1
Hermosa Beach ,2022-2023,,,1,,,,,,1,,1,1,0,0
Huntington Park,2025-2026,,,1,,,,,,1,,1,1,1,1
Inglewood,2025-2026,,,1,,,,,,1,,1,1,1,1
Lynwood,2025-2026,1,,1,,,,,,1,,1,1,1,1
Monrovia,,,,1,,,,,,0,,0,0,0,0
Monterey Park ,2021-2022,,,1,,,,,,1,,1,0,0,0
Redondo Beach,,,,1,,,,,,0,,0,0,0,0
San Fernando,2025-2026,,,1,,,,,,1,,1,1,1,1
Santa Ana,2025-2026,,,0,,,,,,1,,1,1,1,1
South Gate ,2025-2026,,,1,,,,,,1,,1,1,1,1