city,fy_last_reported,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
Antioch,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brentwood,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Clayton,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Danville,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
El Cerrito,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gilroy,2025-2026,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Hercules,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lafayette,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manteca,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Martinez,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Moraga,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mountain House,2025-2026,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Oakley,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Orinda,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pacifica,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pinole,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pittsburg,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pleasant Hill,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
San Pabo,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
San Ramon,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wanlut Creek,2025-2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1
San Bruno ,2021-2022,0,0,0,0,0,0,0,0,0,0,0,1,0,0