"","fy","city"
"1","2014-2015","Anderson"
"2","2014-2015","Auburn"
"3","2014-2015","Colusa"
"4","2014-2015","Corning"
"5","2014-2015","Dixon"
"6","2014-2015","Elk Grove"
"7","2014-2015","Folsom"
"8","2014-2015","Galt"
"9","2014-2015","Gridley"
"10","2014-2015","Ione"
"11","2014-2015","Jackson"
"12","2014-2015","Lincoln"
"13","2014-2015","Marysville"
"14","2014-2015","Nevada"
"15","2014-2015","Oroville"
"16","2014-2015","Paradise"
"17","2014-2015","Placerville"
"18","2014-2015","Red Bluff"
"19","2014-2015","Rio Vista"
"20","2014-2015","Rocklin"
"21","2014-2015","Willows"
"22","2014-2015","Yuba City"
"23","2015-2016","Anderson"
"24","2015-2016","Auburn"
"25","2015-2016","Colusa"
"26","2015-2016","Corning"
"27","2015-2016","Dixon"
"28","2015-2016","Elk Grove"
"29","2015-2016","Folsom"
"30","2015-2016","Galt"
"31","2015-2016","Gridley"
"32","2015-2016","Ione"
"33","2015-2016","Jackson"
"34","2015-2016","Lincoln"
"35","2015-2016","Marysville"
"36","2015-2016","Nevada"
"37","2015-2016","Oroville"
"38","2015-2016","Paradise"
"39","2015-2016","Placerville"
"40","2015-2016","Red Bluff"
"41","2015-2016","Rio Vista"
"42","2015-2016","Rocklin"
"43","2015-2016","Willows"
"44","2015-2016","Yuba City"
"45","2016-2017","Anderson"
"46","2016-2017","Auburn"
"47","2016-2017","Colusa"
"48","2016-2017","Corning"
"49","2016-2017","Dixon"
"50","2016-2017","Elk Grove"
"51","2016-2017","Folsom"
"52","2016-2017","Galt"
"53","2016-2017","Gridley"
"54","2016-2017","Ione"
"55","2016-2017","Jackson"
"56","2016-2017","Lincoln"
"57","2016-2017","Marysville"
"58","2016-2017","Nevada"
"59","2016-2017","Oroville"
"60","2016-2017","Paradise"
"61","2016-2017","Placerville"
"62","2016-2017","Red Bluff"
"63","2016-2017","Rio Vista"
"64","2016-2017","Rocklin"
"65","2016-2017","Willows"
"66","2016-2017","Yuba City"
"67","2017-2018","Anderson"
"68","2017-2018","Auburn"
"69","2017-2018","Colusa"
"70","2017-2018","Corning"
"71","2017-2018","Dixon"
"72","2017-2018","Elk Grove"
"73","2017-2018","Folsom"
"74","2017-2018","Galt"
"75","2017-2018","Gridley"
"76","2017-2018","Ione"
"77","2017-2018","Jackson"
"78","2017-2018","Lincoln"
"79","2017-2018","Marysville"
"80","2017-2018","Nevada"
"81","2017-2018","Oroville"
"82","2017-2018","Paradise"
"83","2017-2018","Placerville"
"84","2017-2018","Red Bluff"
"85","2017-2018","Rio Vista"
"86","2017-2018","Rocklin"
"87","2017-2018","Willows"
"88","2017-2018","Yuba City"
"89","2018-2019","Anderson"
"90","2018-2019","Auburn"
"91","2018-2019","Colusa"
"92","2018-2019","Corning"
"93","2018-2019","Dixon"
"94","2018-2019","Elk Grove"
"95","2018-2019","Folsom"
"96","2018-2019","Galt"
"97","2018-2019","Gridley"
"98","2018-2019","Ione"
"99","2018-2019","Jackson"
"100","2018-2019","Lincoln"
"101","2018-2019","Marysville"
"102","2018-2019","Nevada"
"103","2018-2019","Oroville"
"104","2018-2019","Paradise"
"105","2018-2019","Placerville"
"106","2018-2019","Red Bluff"
"107","2018-2019","Rio Vista"
"108","2018-2019","Rocklin"
"109","2018-2019","Willows"
"110","2018-2019","Yuba City"
"111","2019-2020","Anderson"
"112","2019-2020","Auburn"
"113","2019-2020","Colusa"
"114","2019-2020","Corning"
"115","2019-2020","Dixon"
"116","2019-2020","Elk Grove"
"117","2019-2020","Folsom"
"118","2019-2020","Galt"
"119","2019-2020","Gridley"
"120","2019-2020","Ione"
"121","2019-2020","Jackson"
"122","2019-2020","Lincoln"
"123","2019-2020","Marysville"
"124","2019-2020","Nevada"
"125","2019-2020","Oroville"
"126","2019-2020","Paradise"
"127","2019-2020","Placerville"
"128","2019-2020","Red Bluff"
"129","2019-2020","Rio Vista"
"130","2019-2020","Rocklin"
"131","2019-2020","Willows"
"132","2019-2020","Yuba City"
"133","2020-2021","Anderson"
"134","2020-2021","Auburn"
"135","2020-2021","Colusa"
"136","2020-2021","Corning"
"137","2020-2021","Dixon"
"138","2020-2021","Elk Grove"
"139","2020-2021","Folsom"
"140","2020-2021","Galt"
"141","2020-2021","Gridley"
"142","2020-2021","Ione"
"143","2020-2021","Jackson"
"144","2020-2021","Lincoln"
"145","2020-2021","Marysville"
"146","2020-2021","Nevada"
"147","2020-2021","Oroville"
"148","2020-2021","Paradise"
"149","2020-2021","Placerville"
"150","2020-2021","Red Bluff"
"151","2020-2021","Rio Vista"
"152","2020-2021","Rocklin"
"153","2020-2021","Willows"
"154","2020-2021","Yuba City"
"155","2021-2022","Anderson"
"156","2021-2022","Auburn"
"157","2021-2022","Colusa"
"158","2021-2022","Corning"
"159","2021-2022","Dixon"
"160","2021-2022","Elk Grove"
"161","2021-2022","Folsom"
"162","2021-2022","Galt"
"163","2021-2022","Gridley"
"164","2021-2022","Ione"
"165","2021-2022","Jackson"
"166","2021-2022","Lincoln"
"167","2021-2022","Marysville"
"168","2021-2022","Nevada"
"169","2021-2022","Oroville"
"170","2021-2022","Paradise"
"171","2021-2022","Placerville"
"172","2021-2022","Red Bluff"
"173","2021-2022","Rio Vista"
"174","2021-2022","Rocklin"
"175","2021-2022","Willows"
"176","2021-2022","Yuba City"
"177","2022-2023","Anderson"
"178","2022-2023","Auburn"
"179","2022-2023","Colusa"
"180","2022-2023","Corning"
"181","2022-2023","Dixon"
"182","2022-2023","Elk Grove"
"183","2022-2023","Folsom"
"184","2022-2023","Galt"
"185","2022-2023","Gridley"
"186","2022-2023","Ione"
"187","2022-2023","Jackson"
"188","2022-2023","Lincoln"
"189","2022-2023","Marysville"
"190","2022-2023","Nevada"
"191","2022-2023","Oroville"
"192","2022-2023","Paradise"
"193","2022-2023","Placerville"
"194","2022-2023","Red Bluff"
"195","2022-2023","Rio Vista"
"196","2022-2023","Rocklin"
"197","2022-2023","Willows"
"198","2022-2023","Yuba City"
"199","2023-2024","Anderson"
"200","2023-2024","Auburn"
"201","2023-2024","Colusa"
"202","2023-2024","Corning"
"203","2023-2024","Dixon"
"204","2023-2024","Elk Grove"
"205","2023-2024","Folsom"
"206","2023-2024","Galt"
"207","2023-2024","Gridley"
"208","2023-2024","Ione"
"209","2023-2024","Jackson"
"210","2023-2024","Lincoln"
"211","2023-2024","Marysville"
"212","2023-2024","Nevada"
"213","2023-2024","Oroville"
"214","2023-2024","Paradise"
"215","2023-2024","Placerville"
"216","2023-2024","Red Bluff"
"217","2023-2024","Rio Vista"
"218","2023-2024","Rocklin"
"219","2023-2024","Willows"
"220","2023-2024","Yuba City"
