city,year_joined,fy_end
Alturas,,2016-2017
Amador City,,
Avalon,,
Blue Lake,,
Belvedere,2016-2017,
California,,
Calimesa,,
Calistoga,,
Canyon Lake,,2014-2015
Citrus Heights,,
Clearlake,,
Coalinga,,
Ferndale,,
Grass Valley,,
Hesperia,,2014-2015
Highland,,
Menifee,2015-2016,
Nevada City,,
Pacific Grove,,2019-2020
Placentia,,
Placerville,,
Plymouth,,
Point Arena,,
Ranco Cucamonga,,
Rancho Santa Margarita,,
Rialto,,2016-2017
San Juan Bautista,,
South Lake Tahoe,,
Tehama,,
Trinidad,,
Truckee,,
Twentynine Palms,,
Watsonville,,
West Hollywood,2016-2017,2018-2019
Wheatland,,
Wildomar,,
Yountville,,
Yucaipa,,
Yucca Valley,,