city,fy,year_joined
Biggs,2025-2026,1987
Colfax,2025-2026,1987
Dunsmuir,2025-2026,1987
Etna,2025-2026,1987
Isleton,2025-2026,1987
Live Oak,2025-2026,1987
Loomis,2025-2026,1987
Loyalton,2025-2026,1987
Montague,2025-2026,1987
Mt. Shasta,2025-2026,1988
Portola,2025-2026,1987
Rio Dell,2025-2026,2002
Shasta Lake,2025-2026,1993
Susanville,2025-2026,1987
Tulelake,2025-2026,2011
Weed,2025-2026,1987
Yreka,2025-2026,1987
Biggs,2021-2022,
Colfax,2021-2022,
Dunsmuir,2021-2022,
Etna,2021-2022,
Isleton,2021-2022,
Live Oak,2021-2022,
Loomis,2021-2022,
Loyalton,2021-2022,
Montague,2021-2022,
Mt. Shasta,2021-2022,
Portola,2021-2022,
Rio Dell,2021-2022,
Shasta Lake,2021-2022,
Susanville,2021-2022,
Tulelake,2021-2022,
Weed,2021-2022,
Yreka,2021-2022,
Biggs,2020-2021,
Colfax,2020-2021,
Dunsmuir,2020-2021,
Etna,2020-2021,
Isleton,2020-2021,
Live Oak,2020-2021,
Loomis,2020-2021,
Loyalton,2020-2021,
Mt. Shasta,2020-2021,
Montague,2020-2021,
Portola,2020-2021,
Rio Dell,2020-2021,
Shasta Lake,2020-2021,
Susanville,2020-2021,
Tulelake,2020-2021,
Weed,2020-2021,
Yreka,2020-2021,
Williams,2010-2011,
Biggs,2010-2011,
Colfax,2010-2011,
Cresent City,2010-2011,
Dorris,2010-2011,
Dunsmuir,2010-2011,
Etna,2010-2011,
Fort Jones,2010-2011,
Ione,2010-2011,
Isleton,2010-2011,
Live Oak,2010-2011,
Loomis,2010-2011,
Loyalton,2010-2011,
Montague,2010-2011,
Mt. Shasta,2010-2011,
Portola,2010-2011,
Rio Dell,2010-2011,
Shasta Lake,2010-2011,
Susanville,2010-2011,
Weed,2010-2011,
Yreka,2010-2011,
Biggs,2011-2012,
Colfax,2011-2012,
Cresent City,2011-2012,
Dorris,2011-2012,
Dunsmuir,2011-2012,
Etna,2011-2012,
Fort Jones,2011-2012,
Isleton,2011-2012,
Live Oak,2011-2012,
Loomis,2011-2012,
Loyalton,2011-2012,
Montague,2011-2012,
Mt. Shasta,2011-2012,
Portola,2011-2012,
Rio Dell,2011-2012,
Shasta Lake,2011-2012,
Susanville,2011-2012,
Weed,2011-2012,
Williams,2011-2012,
Yreka,2011-2012,
Biggs,2012-2013,
Colfax,2012-2013,
Cresent City,2012-2013,
Dorris,2012-2013,
Dunsmuir,2012-2013,
Etna,2012-2013,
Ione,2012-2013,
Live Oak,2012-2013,
Montague,2012-2013,
Mt. Shasta,2012-2013,
Portola,2012-2013,
Rio Dell,2012-2013,
Shasta Lake,2012-2013,
Susanville,2012-2013,
Weed,2012-2013,
Williams,2012-2013,
Yreka,2012-2013,
Fort Jones,2012-2013,
Loomis,2012-2013,
Biggs,2013-2014,
Colfax,2013-2014,
Dorris,2013-2014,
Dunsmuir,2013-2014,
Etna,2013-2014,
Isleton,2013-2014,
Live Oak,2013-2014,
Montague,2013-2014,
Mt. Shasta,2013-2014,
Portola,2013-2014,
Rio Dell,2013-2014,
Susanville,2013-2014,
Tulelake,2013-2014,
Weed,2013-2014,
Yreka,2013-2014,
Loomis,2013-2014,
Fort Jones,2013-2014,
Cresent City,2013-2014,
Biggs,2014-2015,
Colfax,2014-2015,
Dunsmuir,2014-2015,
Etna,2014-2015,
Isleton,2014-2015,
Loomis,2014-2015,
Portola,2014-2015,
Montague,2014-2015,
Mt. Shasta,2014-2015,
Shasta Lake,2014-2015,
Susanville,2014-2015,
Tulelake,2014-2015,
Weed,2014-2015,
Yreka,2014-2015,
Fort Jones,2014-2015,
Live Oak,2014-2015,
Loyalton,2014-2015,
Rio Dell,2014-2015,
Biggs,2015-2016,
Colfax,2015-2016,
Dorris,2015-2016,
Dunsmuir,2015-2016,
Etna,2015-2016,
Ione,2015-2016,
Isleton,2015-2016,
Live Oak,2015-2016,
Loomis,2015-2016,
Loyalton,2015-2016,
Montague,2015-2016,
Mt. Shasta,2015-2016,
Portola,2015-2016,
Rio Dell,2015-2016,
Shasta Lake,2015-2016,
Susanville,2015-2016,
Tulelake,2015-2016,
Weed,2015-2016,
Yreka,2015-2016,
Biggs,2017-2018,
Colfax,2017-2018,
Dunsmuir,2017-2018,
Etna,2017-2018,
Fort Jones,2017-2018,
Isleton,2017-2018,
Live Oak,2017-2018,
Loomis,2017-2018,
Loyalton,2017-2018,
Montague,2017-2018,
Mt. Shasta,2017-2018,
Portola,2017-2018,
Rio Dell,2017-2018,
Shasta Lake,2017-2018,
Susanville,2017-2018,
Tulelake,2017-2018,
Weed,2017-2018,
Yreka,2017-2018,
Biggs,2016-2017,
Colfax,2016-2017,
Dunsmuir,2016-2017,
Etna,2016-2017,
Fort Jones,2016-2017,
Isleton,2016-2017,
Live Oak,2016-2017,
Loomis,2016-2017,
Loyalton,2016-2017,
Montague,2016-2017,
Mt. Shasta,2016-2017,
Portola,2016-2017,
Rio Dell,2016-2017,
Shasta Lake,2016-2017,
Susanville,2016-2017,
Tulelake,2016-2017,
Weed,2016-2017,
Yreka,2016-2017,
Biggs,2019-2020,
Colfax,2018-2019,
Dunsmuir,2018-2019,
Etna,2018-2019,
Fort Jones,2018-2019,
Isleton,2018-2019,
Live Oak,2018-2019,
Loomis,2018-2019,
Loyalton,2018-2019,
Montague,2018-2019,
Mt. Shasta,2018-2019,
Portola,2018-2019,
Rio Dell,2018-2019,
Shasta Lake,2018-2019,
Susanville,2018-2019,
Tulelake,2018-2019,
Weed,2018-2019,
Yreka,2018-2019,
Biggs,2019-2020,
Colfax,2019-2020,
Dunsmuir,2019-2020,
Etna,2019-2020,
Fort Jones,2019-2020,
Isleton,2019-2020,
Live Oak,2019-2020,
Loomis,2019-2020,
Loyalton,2019-2020,
Montague,2019-2020,
Mt. Shasta,2019-2020,
Portola,2019-2020,
Rio Dell,2019-2020,
Shasta Lake,2019-2020,
Susanville,2019-2020,
Tulelake,2019-2020,
Weed,2019-2020,
Yreka,2019-2020,
Biggs,2022-2023,
Colfax,2022-2023,
Dunsmuir,2022-2023,
Etna,2022-2023,
Isleton,2022-2023,
Live Oak,2022-2023,
Loomis,2022-2023,
Loyalton,2022-2023,
Montague,2022-2023,
Mt. Shasta,2022-2023,
Portola,2022-2023,
Rio Dell,2022-2023,
Shasta Lake,2022-2023,
Susanville,2022-2023,
Tulelake,2022-2023,
Weed,2022-2023,
Yreka,2022-2023,
Biggs,2023-2024,
Colfax,2023-2024,
Dunsmuir,2023-2024,
Etna,2023-2024,
Isleton,2023-2024,
Live Oak,2023-2024,
Loomis,2023-2024,
Loyalton,2023-2024,
Montague,2023-2024,
Mt. Shasta,2023-2024,
Portola,2023-2024,
Rio Dell,2023-2024,
Shasta Lake,2023-2024,
Susanville,2023-2024,
Tulelake,2023-2024,
Weed,2023-2024,
Yreka,2023-2024,
Biggs,2024-2025,
Colfax,2024-2025,
Dunsmuir,2024-2025,
Etna,2024-2025,
Isleton,2024-2025,
Live Oak,2024-2025,
Loomis,2024-2025,
Loyalton,2024-2025,
Montague,2024-2025,
Mt. Shasta,2024-2025,
Portola,2024-2025,
Rio Dell,2024-2025,
Shasta Lake,2024-2025,
Susanville,2024-2025,
Tulelake,2024-2025,
Weed,2024-2025,
Yreka,2024-2025,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,